"Compiled from boardgamegeek.com by Matt Borthwick",gameID,rating
388,20100,8
388,7717,8
388,173346,8
388,140,6
388,12942,7
388,122515,9
388,14996,10
388,30869,8
388,150,6
388,8217,8
388,826,6
388,122522,7
388,5,7
388,69789,7
388,157354,8
388,171,6
388,172,7
388,173,8
388,1198,7
388,66589,9
388,63888,8
388,3955,7
388,40628,7
388,37046,7
388,124361,8
388,136888,7
388,27833,10
388,699,7
388,188,6
388,15818,7
388,53953,8
388,4098,8
388,2243,6
388,117959,8
388,108745,7
388,193738,9
388,66188,8
388,25292,8
388,12493,8
388,50381,5
388,146508,9
388,126163,8
388,178900,10
388,12,8
388,215,9
388,133848,7
388,2511,7
388,65244,7
388,36218,9
388,3076,10
388,19237,6
388,12002,8
388,70323,8
388,66362,7
388,17133,8
388,7805,7
388,40692,8
388,65781,9
388,37111,8
388,760,7
388,31481,8
388,102652,8
388,42,9
388,143884,7
388,2651,9
388,205059,10
388,113924,8
388,54998,8
388,1219,6
388,21763,8
388,127023,8
388,62219,9
388,182028,10
388,40834,9
388,37380,8
388,45,8
388,172818,8
388,278,10
388,102680,8
388,14105,8
388,2842,10
388,54043,7
388,5404,8
388,5405,8
388,118048,9
388,155426,8
388,475,8
388,1829,7
388,4390,7
388,204583,7
388,146652,10
388,175914,10
388,811,6
388,97842,7
388,2952,5
388,90419,9
388,822,9
388,823,9
388,39683,7
388,63628,7
388,169786,9
388,73439,9
388,394,6
388,2653,6
388,320,5
388,1345,7
388,325,7
388,124742,9
388,6472,6.5
388,68425,7
388,77130,10
388,34635,8
388,140620,8
388,2381,6
388,22345,8
388,2807,8
388,153938,6
388,483,7
388,113294,7
388,101721,8
388,144733,10
388,68448,8
388,133473,7
388,172386,9
388,21348,9
388,120677,9
388,150376,8
388,156009,8
388,31594,8
388,176494,8
388,167791,9
388,50,10
388,8051,8
388,131357,7
388,55670,7
388,28023,7
388,171668,8
388,21882,7
388,123260,8
388,1917,6
388,1406,3
388,432,8
388,121408,9
388,83330,7
388,5782,8
388,10630,8
388,1927,6
388,33160,9
388,47,7
388,102794,10
388,31627,7
388,84876,9
388,30380,9
388,91536,7
388,19857,8
388,915,7
388,2453,8
388,59294,8
388,205637,8
388,24480,9
388,138161,8
388,11170,8
388,2471,6
388,34219,6
388,133038,9
388,103343,5
388,39856,8
388,2993,8
388,24508,6
388,132531,9
388,926,8
388,438,6
388,25417,10
388,1465,9
388,155068,8
388,72125,9
388,71,10
388,27588,7
388,929,6
388,161417,8
388,147020,9
388,9674,8
388,110327,8
388,143693,8
388,25554,7
388,79828,9
388,148949,7
388,21241,7
388,22827,7
388,105551,8
388,478,7
388,201808,8
388,20963,7
388,147949,8
388,28143,8
388,166384,8
388,29368,7
388,155703,7
388,503,7
388,127060,8
388,13823,7
388,13308,5
388,30549,8
430,9216,8
430,51,7
430,39938,3
430,15363,7
430,15364,7
430,70149,7.5
430,43015,6.5
430,107529,6
430,10,7
430,11,7
430,48726,7
430,13,8
430,12333,4
430,54625,2
430,22545,7
430,3,6
430,47,6
430,148228,6
430,31260,10
430,16986,7
430,2591,7
430,9220,6
430,73761,8
430,1115,4
430,100901,6
430,39463,6
430,41,5
430,59946,7
430,555,8
430,125618,5
430,46,6
430,35677,8.5
430,28720,6
430,43570,8
430,158899,6
430,38453,9
430,54,6
430,59959,8
430,2655,6
430,27708,6
430,34219,6
430,164928,6
430,121921,6
430,17226,8
430,8203,6
430,36932,7
430,25669,5
430,104006,8
430,20551,5
430,12,6
430,74,4
430,97207,7
430,93260,6
430,183394,8
430,25613,10
430,96848,3
430,137297,4
430,36946,4
430,163412,7
430,1111,6
430,88,5
430,126042,7
430,154203,6
430,93,8
430,72287,4
430,16992,5
430,2083,4
430,27746,8
430,146021,7
430,171623,7
430,105,7
430,43111,4
430,2397,7
430,128621,7
430,77423,9
430,112,3
430,21523,7
430,116,5
430,24181,5
430,118,5
430,6249,7
430,22141,7
430,163968,6
430,3201,7
430,150658,8
430,20100,8
430,7717,5
430,45,9
430,140,6
430,12942,6
430,161936,10
430,122515,7
430,14996,7
430,30869,4
430,150,7
430,90137,6
430,122522,6
430,92828,7
430,69789,4
430,926,5
430,157354,8
430,171,6
430,172,6
430,1198,8
430,2223,4
430,91312,1
430,161970,6
430,3955,3
430,40628,7
430,181,4
430,37046,7
430,124361,7
430,136888,4
430,27833,6
430,103885,4
430,188,10
430,9674,6
430,42,6
430,53953,7
430,4098,10
430,34499,6
430,117959,4
430,25292,8
430,193738,7.5
430,66188,8
430,13004,4
430,173346,5
430,147151,3
430,146508,7
430,1234,7
430,126163,8
430,178900,5
430,15062,6
430,215,7
430,63268,6
430,108745,8
430,146652,7
430,36218,10
430,3076,7
430,27173,5
430,104162,8
430,7854,7.5
430,42215,5
430,70323,5
430,826,6
430,17133,6
430,7805,7
430,160499,6
430,40692,8
430,65781,7
430,71721,6.5
430,760,7
430,31481,4
430,187645,8
430,92415,5
430,258,4
430,205059,9
430,113924,8
430,54998,6
430,1219,6
430,21763,6
430,62219,5
430,182028,10
430,66690,4
430,1294,6
430,111661,5
430,163602,7
430,278,6
430,102680,8
430,14105,5
430,2842,6
430,54043,5
430,5404,7
430,131357,5
430,21790,6
430,118048,7
430,155426,6
430,475,6
430,124708,7
430,19237,7
430,4390,5
430,150312,6
430,65244,8
430,175914,10
430,22827,7
430,66098,6
430,90419,6
430,15158,4
430,823,4
430,39683,6
430,164153,9
430,66362,6.5
430,73439,7
430,2653,7
430,320,7
430,1345,8
430,5,6
430,9217,6
430,325,4
430,124742,6
430,327,7
430,6472,7
430,68425,7
430,77130,6
430,34635,7
430,140620,8
430,143693,6
430,22345,4
430,15987,7
430,155987,7
430,113294,9
430,2651,10
430,144733,8
430,822,6
430,68448,4
430,63888,7
430,172386,8
430,21348,7
430,120677,7
430,40849,7
430,150376,7
430,31594,7
430,37380,6
430,55660,7
430,176494,6
430,167791,8
430,50,3
430,128882,5
430,8051,5
430,55670,7
430,28023,4
430,83330,7.5
430,2425,4
430,21882,6
430,92539,5
